,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
0,yumen,40.2833,97.2,33.06,31,100,2.39,CN,1668968578
1,khatanga,71.9667,102.5,-32.03,100,91,4.05,RU,1668968578
2,aksarka,66.5606,67.7975,5.85,96,100,10.22,RU,1668968578
3,saint-philippe,-21.3585,55.7679,76.59,79,60,11.77,RE,1668968579
4,albany,42.6001,-73.9662,33.39,43,3,5.01,US,1668968579
5,cidreira,-30.1811,-50.2056,74.44,70,48,20.76,BR,1668968579
6,menongue,-14.6585,17.691,77.41,27,47,6.64,AO,1668968579
7,hithadhoo,-0.6,73.0833,80.98,77,6,8.28,MV,1668968579
8,georgetown,5.4112,100.3354,81.23,87,40,3.44,MY,1668968501
9,lebu,-37.6167,-73.65,57.11,57,0,25.32,CL,1668968579
10,tuktoyaktuk,69.4541,-133.0374,19.4,100,100,12.66,CA,1668968579
11,abay,49.6311,72.8539,19.78,99,70,2.46,KZ,1668968579
12,la ronge,55.1001,-105.2842,23.25,54,75,11.5,CA,1668968579
13,ushuaia,-54.8,-68.3,49.66,66,75,4.61,AR,1668968406
14,ribeira grande,38.5167,-28.7,68.4,88,75,18.41,PT,1668968579
15,bay roberts,47.5999,-53.2648,40.33,78,69,5.01,CA,1668968580
16,barrow,71.2906,-156.7887,24.82,74,100,14.97,US,1668968580
17,yellowknife,62.456,-114.3525,25.32,80,75,11.5,CA,1668968580
18,saskylakh,71.9167,114.0833,-18.9,99,98,1.32,RU,1668968580
19,constitucion,-35.3333,-72.4167,66.36,47,0,19.46,CL,1668968580
20,hamilton,39.1834,-84.5333,33.21,34,0,9.22,US,1668968580
21,san blas,21.5167,-105.2667,89.49,55,97,4.5,MX,1668968580
22,carnarvon,-24.8667,113.6333,69.4,66,0,18.5,AU,1668968580
23,tasiilaq,65.6145,-37.6368,37.56,84,100,15.64,GL,1668968580
24,puerto ayora,-0.7393,-90.3518,78.76,93,97,5.99,EC,1668968581
25,qaanaaq,77.484,-69.3632,-8.01,56,8,1.16,GL,1668968581
26,axim,4.8699,-2.2405,78.85,82,72,7.16,GH,1668968581
27,canavieiras,-15.675,-38.9472,82.36,81,98,5.79,BR,1668968581
28,aswan,24.0934,32.907,76.75,41,1,8.16,EG,1668968524
29,sobolevo,54.4299,31.8996,17.53,94,100,6.11,RU,1668968581
30,portland,45.5234,-122.6762,44.47,58,0,11.5,US,1668968581
31,umtata,-31.5889,28.7844,53.01,96,41,3.13,ZA,1668968460
32,punta arenas,-53.15,-70.9167,53.71,50,40,32.21,CL,1668968582
33,west wendover,40.7391,-114.0733,25.81,63,0,3.44,US,1668968582
34,cape town,-33.9258,18.4232,65.26,63,0,18.41,ZA,1668968317
35,srednekolymsk,67.45,153.6833,-31.99,100,48,5.14,RU,1668968582
36,cherskiy,68.75,161.3,-13.58,98,100,8.1,RU,1668968582
37,bethel,41.3712,-73.414,37.0,40,40,19.57,US,1668968582
38,raga,8.4596,25.678,78.26,25,59,4.09,SS,1668968582
39,busselton,-33.65,115.3333,50.16,81,0,11.39,AU,1668968582
40,nikolskoye,59.7035,30.7861,24.69,96,93,4.92,RU,1668968582
41,hobart,-42.8794,147.3294,46.26,76,40,13.8,AU,1668968460
42,inirida,3.8653,-67.9239,87.8,67,53,1.03,CO,1668968583
43,sistranda,63.7256,8.834,30.16,58,6,16.6,NO,1668968583
44,miura,35.14,139.6192,55.29,94,98,17.02,JP,1668968583
45,rikitea,-23.1203,-134.9692,71.13,76,94,12.95,PF,1668968583
46,utica,43.1009,-75.2327,30.65,72,49,3.0,US,1668968583
47,kruisfontein,-34.0033,24.7314,60.89,76,27,3.49,ZA,1668968584
48,vaini,-21.2,-175.2,69.96,100,75,0.0,TO,1668968584
49,kodiak,57.79,-152.4072,38.71,93,100,4.61,US,1668968584
50,bilma,18.6853,12.9164,75.34,15,48,5.17,NE,1668968585
51,bredasdorp,-34.5322,20.0403,61.11,71,17,6.02,ZA,1668968585
52,flin flon,54.7682,-101.865,19.24,79,100,10.36,CA,1668968585
53,butaritari,3.0707,172.7902,80.22,80,15,12.5,KI,1668968585
54,upington,-28.4478,21.2561,80.98,10,0,3.44,ZA,1668968585
55,krasnyy oktyabr,56.1167,38.8833,24.35,91,99,2.66,RU,1668968586
56,port lincoln,-34.7333,135.8667,53.44,60,94,22.73,AU,1668968313
57,jamestown,42.097,-79.2353,23.72,76,100,14.97,US,1668968586
58,fereydun kenar,36.6864,52.5225,63.27,68,0,4.21,IR,1668968565
59,gillette,44.2911,-105.5022,37.06,42,0,11.5,US,1668968587
60,kaitangata,-46.2817,169.8464,51.21,98,48,0.49,NZ,1668968587
61,teknaf,20.8624,92.3058,74.77,82,5,7.56,BD,1668968588
62,ryotsu,38.0833,138.4333,55.74,91,100,10.29,JP,1668968588
63,thompson,55.7435,-97.8558,21.36,93,100,9.22,CA,1668968588
64,deputatskiy,69.3,139.9,-21.96,91,93,1.48,RU,1668968588
65,kapaa,22.0752,-159.319,77.32,81,40,17.27,US,1668968589
66,altay,47.8667,88.1167,27.59,97,100,3.02,CN,1668968589
67,rio grande,-32.035,-52.0986,87.91,63,100,16.02,BR,1668968589
68,new norfolk,-42.7826,147.0587,45.91,71,85,8.01,AU,1668968589
69,severo-kurilsk,50.6789,156.125,32.04,70,28,4.45,RU,1668968589
70,rorvik,64.8621,11.2373,24.78,86,0,0.0,NO,1668968590
71,hilo,19.7297,-155.09,74.62,94,75,4.61,US,1668968590
72,arraial do cabo,-22.9661,-42.0278,78.76,69,40,10.36,BR,1668968590
73,port alfred,-33.5906,26.891,67.17,79,45,9.13,ZA,1668968590
74,hasaki,35.7333,140.8333,55.22,65,100,14.07,JP,1668968590
75,beira,-19.8436,34.8389,80.69,69,100,27.63,MZ,1668968305
76,bakchar,57.0186,82.0711,-0.35,84,99,9.17,RU,1668968590
77,laguna,38.421,-121.4238,61.97,54,0,5.75,US,1668968590
78,mataura,-46.1927,168.8643,51.82,99,86,2.66,NZ,1668968590
79,gondanglegi,-7.7479,112.0132,76.12,88,99,2.62,ID,1668968591
80,hermanus,-34.4187,19.2345,62.8,74,2,7.74,ZA,1668968381
81,castro,-24.7911,-50.0119,81.32,37,15,4.99,BR,1668968591
82,kayiry,46.9454,33.7059,55.45,89,100,13.76,UA,1668968591
83,kahului,20.8947,-156.47,79.84,74,20,11.01,US,1668968591
84,whyalla,-33.0333,137.5833,56.48,55,48,18.01,AU,1668968591
85,mandalgovi,45.7625,106.2708,19.85,48,1,5.82,MN,1668968591
86,beloha,-25.1667,45.05,71.06,85,100,13.56,MG,1668968591
87,atuona,-9.8,-139.0333,77.38,73,25,12.37,PF,1668968592
88,bengkulu,-3.8004,102.2655,74.37,91,80,5.21,ID,1668968592
89,nizwa,22.9333,57.5333,74.37,43,0,9.46,OM,1668968592
90,eloy,32.7559,-111.5548,66.06,33,0,9.48,US,1668968592
91,huarmey,-10.0681,-78.1522,69.98,73,86,9.86,PE,1668968592
92,hoshcha,50.6003,26.6744,27.48,98,99,5.91,UA,1668968592
93,bambous virieux,-20.3428,57.7575,75.45,73,40,8.05,MU,1668968592
94,clyde river,70.4692,-68.5914,-10.97,84,0,8.05,CA,1668968295
95,anloga,5.7947,0.8973,81.99,77,95,12.88,GH,1668968593
96,fairhope,30.523,-87.9033,50.02,50,0,14.97,US,1668968593
97,vila franca do campo,37.7167,-25.4333,67.19,90,99,13.02,PT,1668968593
98,cayenne,4.9333,-52.3333,86.04,66,100,12.66,GF,1668968593
99,tuatapere,-46.1333,167.6833,51.82,96,45,4.7,NZ,1668968593
100,prince rupert,54.3161,-130.3201,44.29,91,100,24.16,CA,1668968593
101,ust-kuyga,70.0167,135.6,-14.55,100,98,1.34,RU,1668968593
102,ballina,-28.8667,153.5667,68.49,52,91,5.44,AU,1668968593
103,souillac,-20.5167,57.5167,75.58,73,40,8.05,MU,1668968593
104,palamos,41.8484,3.1291,55.02,55,42,3.0,ES,1668968594
